t,x,y,u1,u2,reward
[10.  0.  7.],0.9951036,0.74905676,9.326898095923726,0.7338956057235977,0
[9.3268981  0.73389561 5.7544812 ],0.995144,0.6774786,8.773263822017794,1.5883155054660216,0
[8.77326382 1.58831551 4.63164942],0.994477,0.6032335,8.412043963898151,2.4962091849609616,0
[8.41204396 2.49620918 3.61120339],0.9938853,0.5445169,8.276179139768459,3.472682341964308,0
[8.27617914 3.47268234 2.65788955],0.99400526,0.57105935,8.040988243795805,4.443160534949248,0
[8.04098824 4.44316053 1.70913642],0.993556,0.6116806,7.71436455546734,5.382563007885315,0
[7.71436456 5.38256301 0.77095367],0.9926651,0.6262954,7.357830757447138,6.332985175769155,0
[ 7.35783076  6.33298518 -0.1345005 ],0.98926896,0.69310516,6.808079197206916,7.185308781208201,0
[ 6.8080792   7.18530878 -1.02326063],0.9849561,0.7373672,6.134532122610173,7.910505487938008,0
[ 6.13453212  7.91050549 -1.86091693],0.97968864,0.7671595,5.369929696819775,8.565779544583508,0
[ 5.3699297   8.56577954 -2.62424693],0.9731884,0.785181,4.5883551897096755,9.1563783895909,0
[ 4.58835519  9.15637839 -3.29572545],-0.052910596,-0.06419715,5.021920446556445,9.102676909849377,0
[ 5.02192045  9.10267691 -3.33389661],-0.052983925,-0.066471,5.49783499834175,9.022628113906032,0
[ 5.497835    9.02262811 -3.37658497],-0.053023126,-0.06907916,6.002670219049483,8.950107784998675,0
[ 6.00267022  8.95010778 -3.42446156],-0.053077925,-0.07180823,6.435326640594148,8.817507137784267,0
[ 6.43532664  8.81750714 -3.4780627 ],-0.053042635,-0.074600376,6.8985869088941065,8.68265543541886,0
[ 6.89858691  8.68265544 -3.53696875],-0.05332849,-0.0777892,7.368072951733346,8.553606807848578,0
[ 7.36807295  8.55360681 -3.60203192],-0.053907953,-0.08145483,7.799963844623894,8.405807346697182,0
[ 7.79996384  8.40580735 -3.67400165],-0.05437412,-0.0851106,8.253638937259176,8.309924866608709,0
[ 8.25363894  8.30992487 -3.75277882],-0.054923326,-0.088658184,8.747758124216157,8.2254324207031,0
[ 8.74775812  8.22543242 -3.83885776],-0.055543583,-0.09241389,9.172604225326365,8.104188924004577,0
[ 9.17260423  8.10418892 -3.93317716],-0.05603847,-0.09617286,9.595590467008394,7.925300966314357,0
[ 9.59559047  7.92530097 -4.03527582],-0.05692664,-0.10067746,10.082296412306881,7.793687912781818,0
[10.08229641  7.79368791 -4.14625576],-0.05678692,-0.105441764,10.515155639931853,7.683229026586574,0
[10.51515564  7.68322903 -4.26700244],-0.05644954,-0.10989361,10.968769703425561,7.568183815184318,0
[10.9687697   7.56818382 -4.39691104],-0.056088854,-0.11458856,11.43442862239688,7.446876232960461,0
[11.43442862  7.44687623 -4.53684992],-0.05568839,-0.119492635,11.845519460136385,7.264045978947388,0
[11.84551946  7.26404598 -4.68759232],-0.05502062,-0.124536455,12.310964949293089,7.096790529384703,0
[12.31096495  7.09679053 -4.84886808],-0.05459057,-0.13012192,12.779655502942568,6.938097725378689,0
[12.7796555   6.93809773 -5.02258728],-0.054164454,-0.1358218,13.206376379349468,6.7473661523014465,0
[13.20637638  6.74736615 -5.20945605],-0.05351479,-0.14161746,13.606505114402417,6.53949449301762,0
[13.60650511  6.53949449 -5.40938916],-0.052859403,-0.14894654,13.983952506061085,6.3066242342744445,0
[13.98395251  6.30662423 -5.62443731],-0.05197262,-0.15645093,14.428544594087136,6.069820230065443,0
[14.42854459  6.06982023 -5.85497348],-0.051042534,-0.16496973,14.81306746077891,5.800494467921148,0
[14.81306746  5.80049447 -6.10413381],-0.050054852,-0.17323563,15.206716218133868,5.595239082993129,0
[15.20671622  5.59523908 -6.37124619],-0.049318768,-0.1813317,15.602597021830123,5.342502799307985,0
[15.60259702  5.3425028  -6.65700917],-0.048346378,-0.18999457,16.00632943285012,5.119323379799875,0
[16.00632943  5.11932338 -6.96289693],-0.047472052,-0.19874245,16.39078861262266,4.8170903608433955,0
[16.39078861  4.81709036 -7.28995976],-0.046184532,-0.20812552,16.803245510420354,4.529093716992959,0
[16.80324551  4.52909372 -7.63939216],-0.044960283,-0.21787956,17.152652190963437,4.265702586979394,0
[17.15265219  4.26570259 -8.01321409],-0.043681197,-0.22722803,17.5017638288167,3.908119320053104,0
[17.50176383  3.90811932 -8.41010667],-0.041953288,-0.23747052,17.888637531843198,3.5946469774792322,0
[17.88863753  3.59464698 -8.8321581 ],-0.04042702,-0.24797122,18.270842987793312,3.2869949630074045,0
[18.27084299  3.28699496 -9.28160121],-0.03840196,-0.2584545,18.58317485067552,2.980940408551952,0
[18.58317485  2.98094041 -9.75900347],-0.035673674,-0.2684113,18.90527781132573,2.5969713755919894,0
[ 18.90527781   2.59697138 -10.262183  ],-0.032604072,-0.27924022,19.19507445048053,2.2342389820365,0
[ 19.19507445   2.23423898 -10.79368068],-0.029510673,-0.28995535,19.518195195549584,1.865979606702534,0
[ 19.5181952    1.86597961 -11.35312735],-0.025812255,-0.3012104,19.80062706887515,1.4367915741953432,0
[ 19.80062707   1.43679157 -11.94319044],-0.02173953,-0.31289726,20.062436177263272,1.0225980944483197,0
[ 20.06243618   1.02259809 -12.5642402 ],-0.017600328,-0.32459912,20.32721596916437,0.5765934042834321,0
[ 20.32721597   0.5765934  -13.2164217 ],-0.013226334,-0.33679193,20.55431335941948,0.17736146570163183,0
[ 20.55431336   0.17736147 -13.90155364],-0.008892689,-0.34867212,20.793820030265508,-0.27597279739724817,0
[ 20.79382003  -0.2759728  -14.61845833],-0.0042433334,-0.36123922,20.969223849192446,-0.7602297734099046,0
[ 20.96922385  -0.76022977 -15.36966448],0.00059548015,-0.37385148,21.126736421099277,-1.2055288211196307,0
[ 21.12673642  -1.20552882 -16.15360301],0.005433625,-0.38630655,21.273295449643257,-1.7204950558794938,0
[ 21.27329545  -1.72049506 -16.96982341],0.010619077,-0.39935696,21.424750766456146,-2.2136662179408417,0
[ 21.42475077  -2.21366622 -17.81968759],0.015880307,-0.41248822,21.595587429955962,-2.66867177199725,0
[ 21.59558743  -2.66867177 -18.70408805],0.021180918,-0.42567933,21.73147824463316,-3.177877371083353,0
[ 21.73147824  -3.17787737 -19.62450486],0.026969835,-0.4396852,21.799023904302203,-3.6438071456120356,0
[ 21.7990239   -3.64380715 -20.58180166],0.032758106,-0.45327896,21.89996744955543,-4.181787468161267,0
[ 21.89996745  -4.18178747 -21.57248255],0.038954414,-0.46766436,21.916636214593,-4.74004625120043,1
